Covarianza: ,PM10,PM2.5,O3,NO2,CO,SO2,
PM10,702.3116746261232,454.39251420875706,234.91611731969286,117.8554009101602,75.94420793258416,12.977037365866309
PM2.5,454.39251420875706,478.4125401443201,183.87831461319894,102.60734316230602,71.3145238733772,19.480003214877073
O3,234.91611731969286,183.87831461319894,629.979327965765,74.13103580673437,14.910560829471622,5.595184930388746
NO2,117.8554009101602,102.60734316230602,74.13103580673437,90.99118740567806,26.765256923645797,11.566835295019144
CO,75.94420793258416,71.3145238733772,14.910560829471622,26.765256923645797,26.384024351444246,4.455358600379124
SO2,12.977037365866309,19.480003214877073,5.595184930388746,11.566835295019144,4.455358600379124,10.623545393064349


Coeficiente de Pearson: ,PM10,PM2.5,O3,NO2,CO,SO2,
PM10,1.0,0.7839077295582871,0.35317074453616343,0.4662135368293631,0.5579036381151744,0.15023664349780755
PM2.5,0.7839077295582871,1.0,0.3349392840167855,0.4917875146391103,0.634755086962752,0.27324549334186177
O3,0.35317074453616343,0.3349392840167855,1.0,0.309625879172776,0.11565390733067073,0.06839377210042039
NO2,0.4662135368293631,0.4917875146391103,0.309625879172776,1.0,0.5462623023198148,0.37203187098229273
CO,0.5579036381151744,0.634755086962752,0.11565390733067073,0.5462623023198148,1.0,0.26611993365264613
SO2,0.15023664349780755,0.27324549334186177,0.06839377210042039,0.37203187098229273,0.26611993365264613,1.0


Coeficiente de Determinacion: ,PM10,PM2.5,O3,NO2,CO,SO2,
PM10,1.0,0.6145113284612287,0.12472957479622801,0.21735506192294393,0.31125646942214746,0.02257104904948732
PM2.5,0.6145113284612287,1.0,0.11218432397767691,0.24185495955491312,0.4029140204250908,0.07466309963163742
O3,0.12472957479622801,0.11218432397767691,1.0,0.09586818505351449,0.013375826280851372,0.0046777080621242416
NO2,0.21735506192294393,0.24185495955491312,0.09586818505351449,1.0,0.2984025029357447,0.1384077130265853
CO,0.31125646942214746,0.4029140204250908,0.013375826280851372,0.2984025029357447,1.0,0.07081981908728878
SO2,0.02257104904948732,0.07466309963163742,0.0046777080621242416,0.1384077130265853,0.07081981908728878,1.0
